era,season_start_year,gini,financial_gini,champion_pts,runner_up_pts,margin,stability,financial_corr,hhi,mv_std,r2_value
Abramovich,2005.5,0.1824480599004869,0.34737298792255544,90.5,83.5,7.0,4.5,-0.7449782169728428,0.07415552375300849,93.1251786331999,0.707572629271583
FFP Era,2013.0,0.17911041823040255,0.36548906057943176,86.4,80.2,6.2,4.8,-0.7697995174144283,0.07498740091051267,146.93028102487224,0.6914283359344765
Man City Enters,2009.0,0.17325389058546517,0.35726318357612835,85.33333333333333,80.66666666666667,4.666666666666667,5.0,-0.8306587869198969,0.07236795282734,123.9292939029923,0.8021152701598515
State Ownership Maturity,2022.0,0.19455221123900426,0.2916576499856785,88.6,82.6,6.0,4.2,-0.8019897800243478,0.06433320617367488,296.04621443977817,0.6685658246898799
TV Money Explosion,2017.5,0.19556819355486094,0.3661638318772856,97.5,86.25,11.25,5.25,-0.8433949182499043,0.07409619029210579,287.5530305415548,0.8173116272693837
